source_turn_id,source_edge_sequence,from_link_id,to_link_id,via_node_id,no_turn,included_vehicle_types,excluded_vehicle_types,part_time_restriction,status
6707,104294|104231,308589,308463,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6708,104306|104294,308613,308588,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6709,104295|104295,308590,308591,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6709,104295|104295,308591,308590,10397,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6710,105445|105445,310890,310891,10255,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6710,105445|105445,310891,310890,10261,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6711,104299|104299,308598,308599,10625,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6711,104299|104299,308599,308598,10626,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6712,104187|104187,308374,308375,10625,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6712,104187|104187,308375,308374,10629,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140426,104290|104290,308580,308581,10344,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
140426,104290|104290,308581,308580,10347,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3660,105141|105141,310282,310283,10692,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3660,105141|105141,310283,310282,10667,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3661,104208|104208,308416,308417,10710,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3661,104208|104208,308417,308416,10714,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6731,104563|104563,309126,309127,10381,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6731,104563|104563,309127,309126,10387,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7285,104528|104684,309056,309368,10370,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3416,104187|104187,308374,308375,10625,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3416,104187|104187,308375,308374,10629,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3430,105183|105183,310366,310367,10492,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
3430,105183|105183,310367,310366,10494,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
10587,104679|104679,309358,309359,10443,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
10587,104679|104679,309359,309358,10442,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
10588,104678|104678,309356,309357,10446,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
10588,104678|104678,309357,309356,10443,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
17016,104318|104735,308636,309470,10339,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141620,260963|260963,621926,621927,10020,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141620,260963|260963,621927,621926,10006,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141544,261028|261027,622057,622054,10058,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141545,261027|261029,622055,622058,10058,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
141558,105428|105295,310857,310591,10122,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2221,104689|104689,309378,309379,10489,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
2221,104689|104689,309379,309378,10511,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
4448,105183|105202,310367,310404,10494,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7274,104306|104306,308612,308613,10398,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7274,104306|104306,308613,308612,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7275,104231|104294,308462,308588,10395,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6706,104949|104949,309898,309899,10551,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
6706,104949|104949,309899,309898,10550,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7276,104961|104961,309922,309923,10621,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7276,104961|104961,309923,309922,10583,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7277,104308|104308,308616,308617,10583,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
7277,104308|104308,308617,308616,10582,-1,ALL,NA,N,mapped_source_restriction_not_solver_enforced
