link_id,from_node_id,to_node_id,directed,dir_flag,length,free_speed,free_flow_time,capacity,lanes,link_type,vdf_alpha,vdf_beta,vdf_plf,geometry,mcl_link_class,source_link_id,source_from_node_id,source_to_node_id,mcl_gps_match_allowed,source_kml_id,source_travel_direction,street_name,street_code,geometry_sampling,length_unit,capacity_unit,free_speed_unit
10000113,10094,56,1,1,,,,,,0,,,,"LINESTRING(114.166165146 22.308312598,114.166026645 22.308130278)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000114,57,10136,1,1,,,,,,0,,,,"LINESTRING(114.166996631 22.307912068,114.167143739 22.308113298)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000115,10136,57,1,1,,,,,,0,,,,"LINESTRING(114.167143739 22.308113298,114.166996631 22.307912068)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000116,58,10104,1,1,,,,,,0,,,,"LINESTRING(114.165935908 22.307809933,114.166348510 22.307545351)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000117,10104,58,1,1,,,,,,0,,,,"LINESTRING(114.166348510 22.307545351,114.165935908 22.307809933)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000118,59,10144,1,1,,,,,,0,,,,"LINESTRING(114.166899800 22.307591142,114.167369934 22.307643892)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000119,10144,59,1,1,,,,,,0,,,,"LINESTRING(114.167369934 22.307643892,114.166899800 22.307591142)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000120,60,10104,1,1,,,,,,0,,,,"LINESTRING(114.165846161 22.307492592,114.166348510 22.307545351)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000121,10104,60,1,1,,,,,,0,,,,"LINESTRING(114.166348510 22.307545351,114.165846161 22.307492592)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000122,61,10141,1,1,,,,,,0,,,,"LINESTRING(114.166835644 22.307276277,114.167279501 22.307323292)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000123,10141,61,1,1,,,,,,0,,,,"LINESTRING(114.167279501 22.307323292,114.166835644 22.307276277)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000124,62,10100,1,1,,,,,,0,,,,"LINESTRING(114.165823554 22.307197667,114.166262377 22.307213095)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000125,10100,62,1,1,,,,,,0,,,,"LINESTRING(114.166262377 22.307213095,114.165823554 22.307197667)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000126,63,10100,1,1,,,,,,0,,,,"LINESTRING(114.166674287 22.306961345,114.166262377 22.307213095)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000127,10100,63,1,1,,,,,,0,,,,"LINESTRING(114.166262377 22.307213095,114.166674287 22.306961345)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000128,64,10138,1,1,,,,,,0,,,,"LINESTRING(114.167449648 22.306879231,114.167194495 22.307013284)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000129,10138,64,1,1,,,,,,0,,,,"LINESTRING(114.167194495 22.307013284,114.167449648 22.306879231)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000130,65,10201,1,1,,,,,,0,,,,"LINESTRING(114.167993326 22.306795556,114.168153238 22.306476280)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000131,10201,65,1,1,,,,,,0,,,,"LINESTRING(114.168153238 22.306476280,114.167993326 22.306795556)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000132,66,10262,1,1,,,,,,0,,,,"LINESTRING(114.169044630 22.307262233,114.169326458 22.307524285)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000133,10262,66,1,1,,,,,,0,,,,"LINESTRING(114.169326458 22.307524285,114.169044630 22.307262233)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000134,67,10273,1,1,,,,,,0,,,,"LINESTRING(114.169897926 22.307057272,114.169597092 22.306804215)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000135,10273,67,1,1,,,,,,0,,,,"LINESTRING(114.169597092 22.306804215,114.169897926 22.307057272)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000136,68,10333,1,1,,,,,,0,,,,"LINESTRING(114.170384805 22.306971748,114.170626369 22.307229247)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000137,10333,68,1,1,,,,,,0,,,,"LINESTRING(114.170626369 22.307229247,114.170384805 22.306971748)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
10000138,69,10356,1,1,,,,,,0,,,,"LINESTRING(114.170991518 22.306820559,114.171065598 22.307129267)",nonphysical_zone_access_out,,,,false,,,,,straight display only,not routable,not routable,not routable
10000139,10356,69,1,1,,,,,,0,,,,"LINESTRING(114.171065598 22.307129267,114.170991518 22.306820559)",nonphysical_zone_access_in,,,,false,,,,,straight display only,not routable,not routable,not routable
