o_zone_id,d_zone_id,volume
74,17,0.02916541092324738
75,80,0.061023720249212356
75,91,0.05076391690014342
75,94,0.03671783621522592
75,86,0.034096997346649574
75,17,0.03339752928876877
76,80,0.03531734833946594
76,94,0.024483191049277663
76,91,0.02278066216089974
76,57,0.016738357511697756
76,11,0.016680440938658902
77,80,0.08557309246709872
77,94,0.058660924090805734
77,91,0.05852705314298623
77,11,0.04193139680997888
77,86,0.03984086682246373
78,80,0.06873689807395926
78,91,0.051470298695444616
78,94,0.04619877843059201
78,11,0.03537759266384009
78,86,0.03474976546949738
79,80,0.05463610761332235
79,91,0.045887271380688904
79,94,0.03574658349445917
79,17,0.031609304923513
79,86,0.03052073258801659
80,91,0.3138379765371666
80,94,0.21066602295859302
80,86,0.20894885686296902
80,57,0.19537525464636477
80,59,0.18317188899490658
81,80,0.0834851813498645
81,91,0.04700493359459917
81,86,0.03113795063568894
81,94,0.0279671398689957
81,57,0.025604794550851684
82,80,0.03374366110418014
82,91,0.022249578407690426
82,86,0.014075578211242714
82,87,0.011543910575925692
82,94,0.011035075045318024
83,80,0.02312029797395294
83,91,0.02299617515403436
83,86,0.014164291220752056
83,87,0.011893248313192308
83,92,0.01064538783924597
84,91,0.012426108110168558
84,80,0.007657513914524916
84,87,0.00612606360888205
84,86,0.006032207209116728
84,92,0.005794712546701869
85,80,0.062387147721508385
85,91,0.05327920723524984
85,86,0.0361161833944806
85,87,0.029115776045564867
85,17,0.025501685603196322
86,91,0.18546285565564444
86,80,0.14202110119980274
86,87,0.10267440426204133
86,92,0.08411573508967113
86,17,0.08065923712617372
87,91,0.2661381399927733
87,92,0.12140871573127676
87,80,0.11328963634323079
87,86,0.10158036599092289
87,17,0.09011820605376418
88,80,0.07556858232433179
88,91,0.06910688799495204
88,86,0.046865307010295364
88,17,0.04070423132013249
88,87,0.04002165801695504
89,91,0.09865478129374693
89,80,0.09484215365021037
89,86,0.06435721258346361
89,17,0.06342981177271433
89,87,0.05871604069986482
90,91,0.07086603282126254
90,87,0.044634969856628876
90,80,0.03928598109419945
90,17,0.034850773981036
90,86,0.03436224224687314
91,92,0.32683432925183925
91,87,0.3217379071484035
91,80,0.2551297291540852
91,86,0.22181945772842493
91,17,0.17313605888514758
92,91,0.27025929024705153
92,87,0.12136625343915423
92,80,0.09702448107947498
92,86,0.08319034139623603
92,17,0.06465408719512693
93,91,0.008702271482890355
93,87,0.00436578468690923
93,92,0.004352571062149231
93,80,0.0030791699680742736
93,86,0.0027164421051614103
94,80,0.21175787423666426
94,11,0.15198125590500397
94,91,0.1336540618493841
94,57,0.10589592848032099
94,59,0.10556323585266915
95,80,0.09663355259630081
95,91,0.046947111338086246
95,94,0.04558142502529248
95,57,0.04023425291031429
95,59,0.03815806663491795
