route_id,agency_id,route_short_name,route_long_name,route_type,service_id,pilot_intersecting_trip_patterns,frequency_records,headway_min_s,headway_max_s,calendar_start,calendar_end,schedule_type
1000592,KMB,268B,HUNG FUK ESTATE HUNG YUEN ROAD - HUNG HOM (HUNG LUEN ROAD),3,287,1,0,,,20200101,20991231,specified schedule or no frequency record
1000612,KMB,87C,KAM YING COURT - HUNG HOM STATION,3,287,11,11,720,1200,20200101,20991231,frequency/headway
1000612,KMB,87C,KAM YING COURT - HUNG HOM STATION,3,288,4,4,720,960,20200101,20991231,frequency/headway
1000612,KMB,87C,KAM YING COURT - HUNG HOM STATION,3,448,7,7,840,1200,20200101,20991231,frequency/headway
1000621,KMB+CTB,110,SHAU KEI WAN - TSIM SHA TSUI (CIRCULAR) (VIA HSR WEST KOWLOON STATION),3,288,3,3,1200,2100,20200101,20991231,frequency/headway
1000621,KMB+CTB,110,SHAU KEI WAN - TSIM SHA TSUI (CIRCULAR) (VIA HSR WEST KOWLOON STATION),3,448,2,2,1200,1800,20200101,20991231,frequency/headway
1000622,KMB+CTB,110,SHAU KEI WAN - TSIM SHA TSUI EAST (MODY ROAD) (VIA HSR WEST KOWLOON STATION),3,448,2,2,1800,2100,20200101,20991231,frequency/headway
1000626,KMB,HK1,"STAR FERRY - TSIM SHA TSUI,MONG KOK (CIRCULAR) (SPECIAL DEPARTURES)",3,511,1,1,1800,1800,20200101,20991231,frequency/headway
1000633,KMB,213E,ANDERSON - KOWLOON STATION (OMIT KWUN TONG ROAD),3,287,4,0,,,20200101,20991231,specified schedule or no frequency record
1000641,KMB,W4,HIGH SPEED RAIL (WEST KOWLOON STATION) - WKCD ‧ TSIM SHA TSUI ‧ HIGH SPEED RAIL (CIRCULAR),3,480,2,2,1200,1800,20200101,20991231,frequency/headway
1000647,KMB,270E,TSIM SHA TSUI EAST (MODY ROAD) - FANLING (LUEN WO HUI),3,287,1,1,1800,1800,20200101,20991231,frequency/headway
1000647,KMB,270E,TSIM SHA TSUI EAST (MODY ROAD) - FANLING (LUEN WO HUI),3,480,1,1,1800,1800,20200101,20991231,frequency/headway
1000655,CTB,587,GO PARK SAI SHA - TSIM SHA TSUI (MODY ROAD),3,287,2,0,,,20200101,20991231,specified schedule or no frequency record
1000687,CTB,971,ABERDEEN (SHEK PAI WAN) - HOI LAI ESTATE,3,287,18,18,900,1800,20200101,20991231,frequency/headway
1000687,CTB,971,ABERDEEN (SHEK PAI WAN) - HOI LAI ESTATE,3,288,14,14,1200,1800,20200101,20991231,frequency/headway
1000687,CTB,971,ABERDEEN (SHEK PAI WAN) - HOI LAI ESTATE,3,448,13,13,1200,1800,20200101,20991231,frequency/headway
1000688,CTB,795X,OSCAR BY THE SEA - SO UK (VIA IMMIGRATION HEADQUARTERS),3,287,3,0,,,20200101,20991231,specified schedule or no frequency record
1000701,CTB,790,OSCAR BY THE SEA - TSIM SHA TSUI(MODY ROAD) (VIA TSEUNG KWAN O INDUSTRIAL ESTATE),3,287,3,0,,,20200101,20991231,specified schedule or no frequency record
1000705,KMB,17P,SHUN TIN - HO MAN TIN (OI MAN ESTATE),3,287,1,0,,,20200101,20991231,specified schedule or no frequency record
1000706,KMB,11,TSZ WAN SHAN (CENTRAL) - KOWLOON STATION,3,287,17,17,600,1800,20200101,20991231,frequency/headway
1000706,KMB,11,TSZ WAN SHAN (CENTRAL) - KOWLOON STATION,3,288,10,10,900,1800,20200101,20991231,frequency/headway
1000706,KMB,11,TSZ WAN SHAN (CENTRAL) - KOWLOON STATION,3,448,11,11,900,1800,20200101,20991231,frequency/headway
1000707,KMB,11,KOWLOON STATION - TSZ WAN SHAN (CENTRAL) (SPECIAL DEPARTURE),3,287,2,2,1200,1500,20200101,20991231,frequency/headway
1000710,KMB,213E,ANDERSON - KOWLOON STATION,3,287,6,6,1200,1800,20200101,20991231,frequency/headway
1000710,KMB,213E,ANDERSON - KOWLOON STATION,3,480,2,2,1200,1200,20200101,20991231,frequency/headway
1001,KMB,1,CHUK YUEN ESTATE - STAR FERRY,3,287,19,19,540,1500,20200101,20991231,frequency/headway
1001,KMB,1,CHUK YUEN ESTATE - STAR FERRY,3,288,18,18,600,1800,20200101,20991231,frequency/headway
1001,KMB,1,CHUK YUEN ESTATE - STAR FERRY,3,448,18,18,600,1500,20200101,20991231,frequency/headway
1006,KMB+CTB,102P,SHAU KEI WAN - MEI FOO,3,287,11,0,,,20200101,20991231,specified schedule or no frequency record
1008,KMB+CTB,103,CHUK YUEN ESTATE - POKFIELD RD,3,287,34,34,900,1800,20200101,20991231,frequency/headway
1008,KMB+CTB,103,CHUK YUEN ESTATE - POKFIELD RD,3,288,13,13,1200,1500,20200101,20991231,frequency/headway
1008,KMB+CTB,103,CHUK YUEN ESTATE - POKFIELD RD,3,448,43,43,840,1800,20200101,20991231,frequency/headway
1010,KMB+CTB,106,WONG TAI SIN - SIU SAI WAN (ISLAND RESORT),3,287,54,54,360,1740,20200101,20991231,frequency/headway
1010,KMB+CTB,106,WONG TAI SIN - SIU SAI WAN (ISLAND RESORT),3,288,39,39,420,1740,20200101,20991231,frequency/headway
1010,KMB+CTB,106,WONG TAI SIN - SIU SAI WAN (ISLAND RESORT),3,448,54,54,480,1500,20200101,20991231,frequency/headway
1014,KMB,108,KAI YIP - BRAEMAR HILL,3,287,16,16,600,1500,20200101,20991231,frequency/headway
1014,KMB,108,KAI YIP - BRAEMAR HILL,3,288,16,16,720,1800,20200101,20991231,frequency/headway
1014,KMB,108,KAI YIP - BRAEMAR HILL,3,448,13,13,900,1800,20200101,20991231,frequency/headway
