link_id,from_node_id,to_node_id,directed,dir_flag,length,free_speed,free_flow_time,capacity,lanes,link_type,vdf_alpha,vdf_beta,vdf_plf,geometry,mcl_link_class,source_link_id,source_from_node_id,source_to_node_id,mcl_gps_match_allowed,source_kml_id,source_travel_direction,street_name,street_code,geometry_sampling,length_unit,capacity_unit,free_speed_unit
669856,10001,10083,1,1,421.418453,,,,,1,,,,"LINESTRING(114.161764922 22.310132985,114.161840160 22.310112584,114.162024319 22.310094723,114.162130407 22.310090103,114.162267017 22.310100629,114.162386164 22.310122622,114.162529961 22.310164687,114.162826796 22.310268889,114.163006540 22.310344408,114.163279749 22.310487792,114.163466033 22.310595018,114.163804979 22.310742229,114.164065870 22.310810108,114.164233296 22.310815855,114.164646214 22.310792949,114.165113576 22.310749020,114.165453564 22.310702212,114.165673401 22.310661066)",physical,284928,10001,10083,true,ID_024435,3,-99,<Null>,<=101 vertices; endpoints exact,m,unknown,unknown
669610,10002,10050,1,1,294.365281,,,,,1,,,,"LINESTRING(114.162335310 22.309710598,114.162445401 22.309778107,114.162700963 22.309944693,114.162916651 22.310076724,114.163161869 22.310215327,114.163286303 22.310285254,114.163469255 22.310378454,114.163609841 22.310435810,114.163772254 22.310494362,114.163917336 22.310530214,114.164132392 22.310571448,114.164354513 22.310586398,114.164559944 22.310581635,114.164763475 22.310565229,114.164945359 22.310538497)",physical,284805,10002,10050,true,ID_023800,3,-99,<Null>,<=101 vertices; endpoints exact,m,unknown,unknown
669854,10002,10083,1,1,381.203513,,,,,1,,,,"LINESTRING(114.162335310 22.309710598,114.162567658 22.309923856,114.162754327 22.310071056,114.162980799 22.310219216,114.163285330 22.310414451,114.163481763 22.310512670,114.163812749 22.310668961,114.163995575 22.310743523,114.164136292 22.310774118,114.164431085 22.310776052,114.164979589 22.310734996,114.165172696 22.310713984,114.165433081 22.310694410,114.165673401 22.310661066)",physical,284927,10002,10083,true,ID_024433,3,-99,<Null>,<=101 vertices; endpoints exact,m,unknown,unknown
621972,10003,10015,1,1,55.137033,,,,,1,,,,"LINESTRING(114.163612366 22.303719291,114.163616296 22.303646397,114.163657420 22.303592833,114.163702866 22.303551079,114.163738980 22.303524158,114.163796934 22.303503374,114.163857598 22.303492627,114.163922623 22.303497592,114.163960146 22.303511451,114.164002934 22.303527918)",physical,260986,10003,10015,true,ID_028603,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
621834,10004,10017,1,1,51.527964,,,,,1,,,,"LINESTRING(114.163684373 22.302828793,114.163707489 22.302761893,114.163743444 22.302697383,114.163799941 22.302623318,114.163894952 22.302565981,114.164023343 22.302525372)",physical,260917,10004,10017,true,ID_028790,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
621926,10006,10020,1,1,21.510597,,,,,1,,,,"LINESTRING(114.163836735 22.302659185,114.164045414 22.302664474)",physical,260963,10006,10020,true,ID_032509,1,AUSTIN ROAD WEST,13926,<=101 vertices; endpoints exact,m,unknown,unknown
621958,10007,10018,1,1,247.932544,,,,,1,,,,"LINESTRING(114.163844500 22.303738246,114.163867015 22.304824903,114.163889781 22.304961214,114.163973516 22.305377864,114.164037016 22.305965202)",physical,260979,10007,10018,true,ID_028793,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
621878,10011,10019,1,1,25.776023,,,,,1,,,,"LINESTRING(114.163891070 22.306657327,114.163997891 22.306703275,114.164036762 22.306720098,114.164041465 22.306803362)",physical,260939,10011,10019,true,ID_015223,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
621970,10012,10016,1,1,61.132044,,,,,1,,,,"LINESTRING(114.163958709 22.303179961,114.164015149 22.303729517)",physical,260985,10012,10016,true,ID_028786,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
319912,10013,10038,1,1,48.352965,,,,,1,,,,"LINESTRING(114.163975846 22.306558990,114.164068396 22.306465335,114.164113866 22.306451666,114.164391099 22.306391179)",physical,109956,10013,10038,true,ID_010132,3,JORDAN ROAD,10904,<=101 vertices; endpoints exact,m,unknown,unknown
669852,10014,10083,1,1,420.571063,,,,,1,,,,"LINESTRING(114.163990435 22.308592740,114.163999654 22.308664560,114.163956190 22.308805433,114.163886064 22.309059177,114.163817550 22.309371034,114.163751725 22.309681397,114.163679082 22.310014714,114.163678040 22.310174323,114.163689330 22.310266075,114.163722187 22.310393191,114.163778671 22.310484947,114.163879322 22.310594865,114.164046225 22.310699532,114.164206458 22.310735385,114.164437567 22.310736836,114.164972971 22.310730664,114.165457792 22.310675266,114.165673401 22.310661066)",physical,284926,10014,10083,true,ID_026727,3,-99,<Null>,<=101 vertices; endpoints exact,m,unknown,unknown
622566,10015,10021,1,1,13.054278,,,,,1,,,,"LINESTRING(114.164002934 22.303527918,114.164020268 22.303508768,114.164039769 22.303486593,114.164058187 22.303459378,114.164072272 22.303430147)",physical,261283,10015,10021,true,ID_014526,3,<Null>,<Null>,<=101 vertices; endpoints exact,m,unknown,unknown
622568,10015,10024,1,1,14.121635,,,,,1,,,,"LINESTRING(114.164002934 22.303527918,114.164045179 22.303559170,114.164071174 22.303589412,114.164093920 22.303621670)",physical,261284,10015,10024,true,ID_028604,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
621964,10016,10018,1,1,247.624582,,,,,1,,,,"LINESTRING(114.164015149 22.303729517,114.164041472 22.304609095,114.164045761 22.305090251,114.164050065 22.305415502,114.164037016 22.305965202)",physical,260982,10016,10018,true,ID_028783,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
621830,10017,10082,1,1,169.036575,,,,,1,,,,"LINESTRING(114.164023343 22.302525372,114.164100377 22.302501484,114.164280122 22.302458490,114.164529192 22.302456120,114.165640687 22.302615389)",physical,260915,10017,10082,true,ID_028788,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
622118,10018,10005,1,1,39.672102,,,,,1,,,,"LINESTRING(114.164037016 22.305965202,114.164005235 22.306004176,114.163959915 22.306031809,114.163899250 22.306044908,114.163850502 22.306045912,114.163810421 22.306038853,114.163759689 22.306012220,114.163708426 22.305970391)",physical,261059,10018,10005,true,ID_028778,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
621954,10018,10022,1,1,23.246363,,,,,1,,,,"LINESTRING(114.164037016 22.305965202,114.164055781 22.306088853,114.164086648 22.306168908)",physical,260977,10018,10022,true,ID_028780,3,LIN CHEUNG ROAD,13922,<=101 vertices; endpoints exact,m,unknown,unknown
