zone_id,centroid_lon,centroid_lat,production_person_midday,attraction_person_midday,selected_origin,selected_destination
h3r9:892a3066217ffff,-71.09079708899631,42.36904981343455,56.42705598009705,49.573391185167196,1,1
h3r9:892a3066223ffff,-71.09318957419868,42.36098104895769,23.803829055057538,21.830939198618363,1,1
h3r9:892a3066227ffff,-71.09104301066486,42.358294186191074,3.0927918994495514,3.732469883375904,1,1
h3r9:892a306622bffff,-71.09760566097269,42.36097708202721,106.6503326161469,103.94464562293815,1,1
h3r9:892a306622fffff,-71.09545882711568,42.35829029328686,30.482868175889575,36.0347312191516,1,1
h3r9:892a3066233ffff,-71.09092006414153,42.363671834302295,46.56772218016015,42.962299867446376,1,1
h3r9:892a3066237ffff,-71.08877351454973,42.36098484640096,16.212199142077576,17.78312400232934,1,1
h3r9:892a306623bffff,-71.09533639415658,42.363667962834654,64.43951082362581,57.07192598348427,1,1
h3r9:892a3066247ffff,-71.10404770137191,42.369037754695285,80.80166136614356,69.13827698018335,1,1
h3r9:892a3066263ffff,-71.10416913544286,42.363659711366616,93.05912302947382,90.39301177614308,1,1
h3r9:892a3066267ffff,-71.1020217748195,42.36097294560643,83.0705135212197,77.8928689036791,1,1
h3r9:892a3066273ffff,-71.10190009806088,42.36635081275401,104.58052881019589,96.12749890550003,1,1
h3r9:892a3066277ffff,-71.09975275127445,42.36366392185711,99.55524127991058,96.32092170751886,1,1
h3r9:892a30662a3ffff,-71.08423375082371,42.36636625575255,96.98759963702867,94.73714139222005,1,1
h3r9:892a30662a7ffff,-71.0820874856288,42.36367906872042,81.34342972801761,82.6103111875762,1,1
h3r9:892a30662abffff,-71.08865029690766,42.3663626492955,81.4540370612565,78.64238556060617,1,1
h3r9:892a30662afffff,-71.08650376128156,42.36367553626317,77.1545980772501,82.86200610714621,1,1
h3r9:892a30662b3ffff,-71.08196348313963,42.36905700484391,78.47182986960189,67.9004139584485,1,1
h3r9:892a30662b7ffff,-71.07981723197703,42.366369692686405,93.08556839036439,88.72856698189948,1,1
h3r9:892a30662bbffff,-71.08638027246046,42.36905349391216,81.7631218621884,72.24127977444991,1,1
h3r9:892a3066303ffff,-71.08018987981733,42.35023740633213,221.0259584173967,229.3848481722915,1,1
h3r9:892a3066307ffff,-71.07804461184338,42.34755067431182,339.82290706849716,363.96927604182446,1,1
h3r9:892a306630bffff,-71.08460485820878,42.35023390477874,154.29709111514035,136.78173093702372,1,1
h3r9:892a306630fffff,-71.08245931997223,42.347547246679014,388.9573469949502,436.6651547535189,1,1
h3r9:892a3066313ffff,-71.07792018260409,42.35292759565237,145.36500644048533,123.78172628616623,1,1
h3r9:892a3066317ffff,-71.07577492869191,42.35024073849208,375.87104097033233,432.1424890374196,1,1
h3r9:892a306631bffff,-71.082335404035,42.35292418957374,118.60146420258033,102.01966184337623,1,1
h3r9:892a3066323ffff,-71.0781690121329,42.342174084171425,197.1179022303988,170.53334380962193,1,1
h3r9:892a3066327ffff,-71.07602424245043,42.339487579808626,188.713367909068,161.24920994606333,1,1
h3r9:892a306632bffff,-71.0825832070789,42.34217063498897,216.49295758721297,188.9006057285588,1,1
h3r9:892a306632fffff,-71.08043816721799,42.33948420450716,214.5774914522843,187.8230817299644,1,1
h3r9:892a3066333ffff,-71.07589960007337,42.34486399353536,182.7804393631156,162.51213855633156,1,1
h3r9:892a3066337ffff,-71.07375484446735,42.34217736402531,185.3307313718949,156.8417018399643,1,1
h3r9:892a306633bffff,-71.08031403796022,42.3448606398024,230.34271720124423,208.78334217914352,1,1
