link_id,flow_pce_per_period,cost_min
13573,0.0,0.39076
13574,0.0,0.080658
13575,0.0,0.080658
13576,0.0,0.205092
13579,0.0,0.1555346666666666
13580,0.0,0.1295853333333333
136,0.0,0.1198659999999999
13669,0.0,0.182992
13670,0.0,0.182992
13671,0.0,0.143332
13672,0.0,0.143332
13673,0.0,0.154908
13674,0.0,0.154908
13675,0.0,0.121386
13676,0.0,0.121386
13677,0.0,0.024674
13678,0.0,0.024674
13679,0.0,0.1374
13692,0.0,0.6075079999999999
13693,0.0,0.088028
13694,0.0,0.0880893333333333
13695,0.0,0.362
137,0.0,0.139844
13728,0.0,0.1318413333333333
13729,0.0,0.0992173333333333
13736,0.0,0.252112
13737,0.0,0.252112
13738,0.0,0.15482
13739,0.0,0.15482
13740,0.0,0.1265119999999999
13741,0.0,0.019794
13742,0.0,0.019794
13743,0.0,0.02865
13744,0.0,0.02865
13745,0.0,0.034664
13746,0.0,0.034664
13747,0.0,0.0755893333333333
13748,0.0,0.0742973333333333
13757,0.0,0.109204
13758,0.0,0.0485173333333333
13759,0.0,0.0275653333333333
13760,0.0,0.0867413333333333
13761,0.0,0.184728
13762,0.0,0.1906786666666666
13763,0.0,0.029216
13764,0.0,0.029216
13765,0.0,0.197852
13766,0.0,0.0292413333333333
13767,0.0,0.0038893333333333
13768,0.0,0.0127373333333333
13769,0.0,0.01682
13770,0.0,0.0706253333333333
13771,0.0,0.0967573333333333
13772,0.0,0.0672933333333333
13773,0.0,0.0681426666666666
13774,0.0,0.0338693333333333
13775,0.0,0.431088
13776,0.0,0.431088
13777,0.0,0.097228
13778,0.0,0.097228
13779,0.0,0.73917
13780,0.0,0.031218
13781,0.0,0.031218
13782,0.0,0.60977
13783,0.0,0.2141893333333333
13786,0.0,0.2085346666666666
138,0.0,0.139844
13839,0.0,0.1364453333333333
13840,0.0,0.525196
13841,0.0,0.525196
13842,0.0,0.231916
13843,0.0,0.231916
13846,0.0,0.2509586666666666
13875,0.0,0.130298
13876,0.0,0.130298
13877,0.0,0.254216
13878,0.0,0.299372
13879,0.0,0.299372
13880,0.0,0.09685
13881,0.0,0.09685
13882,0.0,0.0983013333333333
13883,0.0,0.0426133333333333
13884,0.0,0.022796
13885,0.0,0.022796
13886,0.0,0.213604
13887,0.0,0.213604
13888,0.0,0.1198826666666666
13889,0.0,0.089836
13890,0.0,0.089836
13891,0.0,0.136688
13892,0.0,0.136688
13893,0.0,0.034428
13894,0.0,0.034428
13895,0.0,0.027194
13896,0.0,0.027194
13897,0.0,0.1188139999999999
13898,0.0,0.1188139999999999
13899,0.0,0.143918
139,0.0,0.248202
13900,0.0,0.267804
13901,0.0,0.267804
13902,0.0,0.288856
13903,0.0,0.288856
13904,0.0,0.138195
13907,0.0,0.341842
13908,0.0,0.341842
13909,0.0,0.2877
13910,0.0,0.2877
13915,0.0,0.2091
13916,0.0,0.2091
13921,0.0,0.228972
13922,0.0,0.228972
13923,0.0,0.167246
13924,0.0,0.167246
13925,0.0,0.113278
13926,0.0,0.113278
13927,0.0,0.288161
13928,0.0,0.29181
13929,0.0,0.292994
13966,0.0,0.203964
13967,0.0,0.203964
13968,0.0,0.11453
13969,0.0,0.11453
13970,0.0,0.118556
13971,0.0,0.118556
13972,0.0,0.061398
13973,0.0,0.03163
13974,0.0,0.09685
13975,0.0,0.028342
13976,0.0,0.056882
13977,0.0,0.08632
13978,0.0,0.016936
13979,0.0,0.200854
13980,0.0,0.200854
13981,0.0,0.11419
13982,0.0,0.11419
13983,0.0,0.116568
13984,0.0,0.116568
13985,0.0,0.32381
13986,0.0,0.135908
13987,0.0,0.263498
13988,0.0,0.32131
13989,0.0,0.114224
13990,0.0,0.114224
13991,0.0,0.029586
13992,0.0,0.029586
13993,0.0,0.121536
13994,0.0,0.017486
13995,0.0,0.017942
13996,0.0,0.344726
13997,0.0,0.344726
13998,0.0,1.135132
13999,0.0,1.135132
14,0.0,0.392304
140,0.0,1.863892
14000,0.0,0.119566
14001,0.0,0.119566
14002,0.0,0.071564
14003,0.0,0.071564
14004,0.0,0.229622
14005,0.0,0.229622
14006,0.0,0.210896
14007,0.0,0.210896
14008,0.0,0.152054
