link_id,from_node_id,to_node_id,source_link_id,geometry,is_physical,is_centroid_connector,fw_volume,full_path_volume,rank26_v_from_paths,rank52_v_from_paths,rank26_minus_fw,rank52_minus_fw,full_path_minus_fw
15007,254,252,15007,"LINESTRING (-71.0856728 42.3376951, -71.0851873 42.3380049)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15008,249,251,15008,"LINESTRING (-71.0843306 42.3371293, -71.0848344 42.3368561)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15009,251,249,15009,"LINESTRING (-71.0848344 42.3368561, -71.0843306 42.3371293)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15010,4995,253,15010,"LINESTRING (-71.0841783 42.338649, -71.0846928 42.3383204)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15011,253,4995,15011,"LINESTRING (-71.0846928 42.3383204, -71.0841783 42.338649)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15012,3580,3582,15012,"LINESTRING (-71.0829829 42.3378964, -71.0838191 42.3374336)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15013,3582,3580,15013,"LINESTRING (-71.0838191 42.3374336, -71.0829829 42.3378964)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15014,3582,250,15014,"LINESTRING (-71.0838191 42.3374336, -71.0839736 42.3373445)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15015,250,3582,15015,"LINESTRING (-71.0839736 42.3373445, -71.0838191 42.3374336)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15016,3580,3581,15016,"LINESTRING (-71.0829829 42.3378964, -71.0824833 42.338162)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15017,3581,3580,15017,"LINESTRING (-71.0824833 42.338162, -71.0829829 42.3378964)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15018,4996,1863,15018,"LINESTRING (-71.083315 42.3393189, -71.0824716 42.3399986)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15019,1863,4996,15019,"LINESTRING (-71.0824716 42.3399986, -71.083315 42.3393189)",True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0
