child_zone_id,parent_zone_id,relationship,allocation_weight,network_id,network_version,method
h3r9:892a3066163ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066167ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306616bffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306616fffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066173ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066177ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306617bffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30661c3ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30661c7ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30661cbffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30661cfffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30661d3ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30661d7ffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30661dbffff,h3r7:872a30661ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066203ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066207ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306620bffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306620fffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066217ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066223ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066227ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306622bffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306622fffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066233ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066237ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306623bffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066247ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066263ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066267ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066273ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066277ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30662a3ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30662a7ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30662abffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30662afffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30662b3ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30662b7ffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a30662bbffff,h3r7:872a30662ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066303ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066307ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306630bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306630fffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066313ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066317ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306631bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066323ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066327ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306632bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306632fffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066333ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066337ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306633bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066343ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066347ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306634bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306634fffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066353ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066357ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a306635bffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
h3r9:892a3066363ffff,h3r7:872a30663ffffff,h3_logical_parent,1.0,mcl_boston_central,gmns_plus_21_boston_116447ab_analysis_v1,h3.cell_to_parent
