zone_id,name,boundary,super_zone,mcl_original_h3_id,mcl_h3_resolution,mcl_clipped_geometry_wkt,mcl_boundary_status
133,h3r9:892a3066363ffff,"POLYGON ((-71.08910195475913 42.3466456573277, -71.09132977463477 42.34574762826301, -71.09137072820718 42.343955410041296, -71.08918403297085 42.34306122803644, -71.08695630780396 42.343959190735674, -71.0869151831654 42.3457514018023, -71.08910195475913 42.3466456573277))",1006,h3r9:892a3066363ffff,9,"POLYGON ((-71.0869151831654 42.3457514018023, -71.08695630780396 42.343959190735674, -71.08918403297085 42.34306122803644, -71.09137072820718 42.343955410041296, -71.09132977463477 42.34574762826301, -71.08910195475913 42.3466456573277, -71.0869151831654 42.3457514018023))",full_h3_cell; clipped_core_geometry_companion
134,h3r9:892a3066367ffff,"POLYGON ((-71.08695630780396 42.343959190735674, -71.08918403297085 42.34306122803644, -71.08922506730265 42.341269068600425, -71.08703854751327 42.34037487902211, -71.08481091705467 42.341272775362214, -71.0847697116779 42.343064927636846, -71.08695630780396 42.343959190735674))",1006,h3r9:892a3066367ffff,9,"POLYGON ((-71.0847697116779 42.343064927636846, -71.08481091705467 42.341272775362214, -71.08703854751327 42.34037487902211, -71.08922506730265 42.341269068600425, -71.08918403297085 42.34306122803644, -71.08695630780396 42.343959190735674, -71.0847697116779 42.343064927636846))",full_h3_cell; clipped_core_geometry_companion
135,h3r9:892a306636bffff,"POLYGON ((-71.09351664533827 42.34664180268, -71.09574439323328 42.345743685357675, -71.09578517573696 42.34395145999492, -71.09359838141512 42.343057359092604, -71.09137072820718 42.343955410041296, -71.09132977463477 42.34574762826301, -71.09351664533827 42.34664180268))",1006,h3r9:892a306636bffff,9,"POLYGON ((-71.09132977463477 42.34574762826301, -71.09137072820718 42.343955410041296, -71.09359838141512 42.343057359092604, -71.09578517573696 42.34395145999492, -71.09574439323328 42.345743685357675, -71.09351664533827 42.34664180268, -71.09132977463477 42.34574762826301))",full_h3_cell; clipped_core_geometry_companion
136,h3r9:892a306636fffff,"POLYGON ((-71.09137072820718 42.343955410041296, -71.09359838141512 42.343057359092604, -71.09363924469936 42.3412651925093, -71.09145262582398 42.34037108401905, -71.08922506730265 42.341269068600425, -71.08918403297085 42.34306122803644, -71.09137072820718 42.343955410041296))",1006,h3r9:892a306636fffff,9,"POLYGON ((-71.08918403297085 42.34306122803644, -71.08922506730265 42.341269068600425, -71.09145262582398 42.34037108401905, -71.09363924469936 42.3412651925093, -71.09359838141512 42.343057359092604, -71.09137072820718 42.343955410041296, -71.08918403297085 42.34306122803644))",full_h3_cell; clipped_core_geometry_companion
137,h3r9:892a3066373ffff,"POLYGON ((-71.08683292431863 42.34933593434339, -71.08906091087847 42.34843792717822, -71.08910195475913 42.3466456573277, -71.0869151831654 42.3457514018023, -71.0846872913365 42.34664934260388, -71.08464607637111 42.348441605291534, -71.08683292431863 42.34933593434339))",1006,h3r9:892a3066373ffff,9,"POLYGON ((-71.08464607637111 42.348441605291534, -71.0846872913365 42.34664934260388, -71.0869151831654 42.3457514018023, -71.08910195475913 42.3466456573277, -71.08906091087847 42.34843792717822, -71.08683292431863 42.34933593434339, -71.08464607637111 42.348441605291534))",full_h3_cell; clipped_core_geometry_companion
138,h3r9:892a3066377ffff,"POLYGON ((-71.0846872913365 42.34664934260388, -71.0869151831654 42.3457514018023, -71.08695630780396 42.343959190735674, -71.0847697116779 42.343064927636846, -71.08254191457942 42.343962802081165, -71.08250061887733 42.34575500597864, -71.0846872913365 42.34664934260388))",1006,h3r9:892a3066377ffff,9,"POLYGON ((-71.08250061887733 42.34575500597864, -71.08254191457942 42.343962802081165, -71.0847697116779 42.343064927636846, -71.08695630780396 42.343959190735674, -71.0869151831654 42.3457514018023, -71.0846872913365 42.34664934260388, -71.08250061887733 42.34575500597864))",full_h3_cell; clipped_core_geometry_companion
139,h3r9:892a306637bffff,"POLYGON ((-71.09124785796004 42.34933217511577, -71.09347577254493 42.34843407967931, -71.09351664533827 42.34664180268, -71.09132977463477 42.34574762826301, -71.08910195475913 42.3466456573277, -71.08906091087847 42.34843792717822, -71.09124785796004 42.34933217511577))",1006,h3r9:892a306637bffff,9,"POLYGON ((-71.08906091087847 42.34843792717822, -71.08910195475913 42.3466456573277, -71.09132977463477 42.34574762826301, -71.09351664533827 42.34664180268, -71.09347577254493 42.34843407967931, -71.09124785796004 42.34933217511577, -71.08906091087847 42.34843792717822))",full_h3_cell; clipped_core_geometry_companion
140,h3r9:892a3066383ffff,"POLYGON ((-71.07119304674742 42.3574133808458, -71.07342167729227 42.35651561611338, -71.07346333449644 42.35472320582073, -71.07127653229176 42.3538285674719, -71.0690479965878 42.35472626586274, -71.06900616824836 42.35651866894104, -71.07119304674742 42.3574133808458))",1006,h3r9:892a3066383ffff,9,"POLYGON ((-71.06900616824836 42.35651866894104, -71.0690479965878 42.35472626586274, -71.07127653229176 42.3538285674719, -71.07346333449644 42.35472320582073, -71.07342167729227 42.35651561611338, -71.07119304674742 42.3574133808458, -71.06900616824836 42.35651866894104))",full_h3_cell; clipped_core_geometry_companion
141,h3r9:892a3066387ffff,"POLYGON ((-71.0690479965878 42.35472626586274, -71.07127653229176 42.3538285674719, -71.07131827020697 42.35203621597018, -71.06913164353303 42.35114157007701, -71.06690320266938 42.352039202132595, -71.06686129364012 42.35383154641367, -71.0690479965878 42.35472626586274))",1006,h3r9:892a3066387ffff,9,"POLYGON ((-71.06686129364012 42.35383154641367, -71.06690320266938 42.352039202132595, -71.06913164353303 42.35114157007701, -71.07131827020697 42.35203621597018, -71.07127653229176 42.3538285674719, -71.0690479965878 42.35472626586274, -71.06686129364012 42.35383154641367))",full_h3_cell; clipped_core_geometry_companion
142,h3r9:892a306638bffff,"POLYGON ((-71.07560865504784 42.35741024690343, -71.07783721368963 42.3565123938478, -71.07787869975593 42.354719976354836, -71.07569179831906 42.35382541911488, -71.07346333449644 42.35472320582073, -71.07342167729227 42.35651561611338, -71.07560865504784 42.35741024690343))",1006,h3r9:892a306638bffff,9,"POLYGON ((-71.07342167729227 42.35651561611338, -71.07346333449644 42.35472320582073, -71.07569179831906 42.35382541911488, -71.07787869975593 42.354719976354836, -71.07783721368963 42.3565123938478, -71.07560865504784 42.35741024690343, -71.07342167729227 42.35651561611338))",full_h3_cell; clipped_core_geometry_companion
143,h3r9:892a306638fffff,"POLYGON ((-71.07346333449644 42.35472320582073, -71.07569179831906 42.35382541911488, -71.0757333651176 42.352033060406576, -71.07354663921093 42.35113849560776, -71.07131827020697 42.35203621597018, -71.07127653229176 42.3538285674719, -71.07346333449644 42.35472320582073))",1006,h3r9:892a306638fffff,9,"POLYGON ((-71.07127653229176 42.3538285674719, -71.07131827020697 42.35203621597018, -71.07354663921093 42.35113849560776, -71.0757333651176 42.352033060406576, -71.07569179831906 42.35382541911488, -71.07346333449644 42.35472320582073, -71.07127653229176 42.3538285674719))",full_h3_cell; clipped_core_geometry_companion
144,h3r9:892a3066393ffff,"POLYGON ((-71.06892250183401 42.36010358545663, -71.07115129911755 42.359205842713216, -71.07119304674742 42.3574133808458, -71.06900616824836 42.35651866894104, -71.06677746582788 42.35741634534477, -71.06673554704416 42.35920879999002, -71.06892250183401 42.36010358545663))",1006,h3r9:892a3066393ffff,9,"POLYGON ((-71.06673554704416 42.35920879999002, -71.06677746582788 42.35741634534477, -71.06900616824836 42.35651866894104, -71.07119304674742 42.3574133808458, -71.07115129911755 42.359205842713216, -71.06892250183401 42.36010358545663, -71.06673554704416 42.35920879999002))",full_h3_cell; clipped_core_geometry_companion
145,h3r9:892a3066397ffff,"POLYGON ((-71.06677746582788 42.35741634534477, -71.06900616824836 42.35651866894104, -71.0690479965878 42.35472626586274, -71.06686129364012 42.35383154641367, -71.06463268608218 42.35472915648401, -71.06459068661012 42.35652155233388, -71.06677746582788 42.35741634534477))",1006,h3r9:892a3066397ffff,9,"POLYGON ((-71.06459068661012 42.35652155233388, -71.06463268608218 42.35472915648401, -71.06686129364012 42.35383154641367, -71.0690479965878 42.35472626586274, -71.06900616824836 42.35651866894104, -71.06677746582788 42.35741634534477, -71.06459068661012 42.35652155233388))",full_h3_cell; clipped_core_geometry_companion
146,h3r9:892a306639bffff,"POLYGON ((-71.07333835318823 42.36010054705922, -71.07556707857444 42.35920271597892, -71.07560865504784 42.35741024690343, -71.07342167729227 42.35651561611338, -71.07119304674742 42.3574133808458, -71.07115129911755 42.359205842713216, -71.07333835318823 42.36010054705922))",1006,h3r9:892a306639bffff,9,"POLYGON ((-71.07115129911755 42.359205842713216, -71.07119304674742 42.3574133808458, -71.07342167729227 42.35651561611338, -71.07560865504784 42.35741024690343, -71.07556707857444 42.35920271597892, -71.07333835318823 42.36010054705922, -71.07115129911755 42.359205842713216))",full_h3_cell; clipped_core_geometry_companion
147,h3r9:892a30663a3ffff,"POLYGON ((-71.06917346213959 42.349349277374344, -71.07140173632538 42.34845162334908, -71.07144346452931 42.346659382234435, -71.0692570896225 42.34576480236128, -71.06702891025436 42.34666239005575, -71.06698701097613 42.34845462395126, -71.06917346213959 42.349349277374344))",1006,h3r9:892a30663a3ffff,9,"POLYGON ((-71.06698701097613 42.34845462395126, -71.06702891025436 42.34666239005575, -71.0692570896225 42.34576480236128, -71.07144346452931 42.346659382234435, -71.07140173632538 42.34845162334908, -71.06917346213959 42.349349277374344, -71.06698701097613 42.34845462395126))",full_h3_cell; clipped_core_geometry_companion
148,h3r9:892a30663a7ffff,"POLYGON ((-71.06702891025436 42.34666239005575, -71.0692570896225 42.34576480236128, -71.0692988984996 42.34397262005565, -71.0671126990624 42.343078032666966, -71.06488461451141 42.34397555403694, -71.06484263458121 42.345767729117156, -71.06702891025436 42.34666239005575))",1006,h3r9:892a30663a7ffff,9,"POLYGON ((-71.06484263458121 42.345767729117156, -71.06488461451141 42.34397555403694, -71.0671126990624 42.343078032666966, -71.0692988984996 42.34397262005565, -71.0692570896225 42.34576480236128, -71.06702891025436 42.34666239005575, -71.06484263458121 42.345767729117156))",full_h3_cell; clipped_core_geometry_companion
149,h3r9:892a30663abffff,"POLYGON ((-71.07358828672203 42.34934619569225, -71.0758164890424 42.34844845337381, -71.07585804616943 42.34665620505412, -71.07367157205371 42.34576170625501, -71.07144346452931 42.346659382234435, -71.07140173632538 42.34845162334908, -71.07358828672203 42.34934619569225))",1006,h3r9:892a30663abffff,9,"POLYGON ((-71.07140173632538 42.34845162334908, -71.07144346452931 42.346659382234435, -71.07367157205371 42.34576170625501, -71.07585804616943 42.34665620505412, -71.0758164890424 42.34844845337381, -71.07358828672203 42.34934619569225, -71.07140173632538 42.34845162334908))",full_h3_cell; clipped_core_geometry_companion
