od_id,departure_time,scenario_id,scale_id,mode_id,nest_id,probability_conditional,person_trips_conditional_engineering_mass,person_trips_panel
panel_od_002,12:50:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.19024846328864167,1.0057162855407906,5.286330665467375
panel_od_002,12:50:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11493088174657792,0.6075626445861394,5.286330665467375
panel_od_002,12:50:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.018051035096721776,0.09542374037522817,5.286330665467375
panel_od_002,12:50:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,DA,Auto,0.7867279981578218,4.158904342043454,5.286330665467375
panel_od_002,12:50:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S2,Auto,0.128383955619702,0.6786800415464332,5.286330665467375
panel_od_002,12:50:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S3,Auto,0.06249118002695482,0.3303490412977336,5.286330665467375
panel_od_002,12:50:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,TW,Transit,0.022396866195521496,0.11839724057975491,5.286330665467375
panel_od_003,12:30:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.675372879992412,3.4727033639396896,5.141905259771026
panel_od_003,12:30:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.18985582211924704,0.9762206503531087,5.141905259771026
panel_od_003,12:30:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11469368353205114,0.5897440546159674,5.141905259771026
panel_od_003,12:30:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.02007761435628971,0.10323719086226033,5.141905259771026
panel_od_003,12:30:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,DA,Auto,0.7847144190690792,4.034927198829464,5.141905259771026
panel_od_003,12:30:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S2,Auto,0.12805536524415773,0.6584485560908345,5.141905259771026
panel_od_003,12:30:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S3,Auto,0.06233123792037191,0.32050132011079957,5.141905259771026
panel_od_003,12:30:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,TW,Transit,0.024898977766391012,0.1280281847399278,5.141905259771026
panel_od_003,12:30:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.675372879992412,3.4727033639396896,5.141905259771026
panel_od_003,12:30:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.18985582211924704,0.9762206503531087,5.141905259771026
panel_od_003,12:30:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11469368353205114,0.5897440546159674,5.141905259771026
panel_od_003,12:30:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.02007761435628971,0.10323719086226033,5.141905259771026
panel_od_003,12:30:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,DA,Auto,0.7847144190690792,4.034927198829464,5.141905259771026
panel_od_003,12:30:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S2,Auto,0.12805536524415773,0.6584485560908345,5.141905259771026
panel_od_003,12:30:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,S3,Auto,0.06233123792037191,0.32050132011079957,5.141905259771026
panel_od_003,12:30:00,ABS_OBS_EXPLORATORY,AUTO_0_7_SENSITIVITY,TW,Transit,0.024898977766391012,0.1280281847399278,5.141905259771026
panel_od_003,12:30:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.675372879992412,3.4727033639396896,5.141905259771026
panel_od_003,12:30:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.18985582211924704,0.9762206503531087,5.141905259771026
panel_od_003,12:30:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11469368353205114,0.5897440546159674,5.141905259771026
panel_od_003,12:30:00,ABS_RESTORE,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.02007761435628971,0.10323719086226033,5.141905259771026
panel_od_003,12:30:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,DA,Auto,0.7847144190690792,4.034927198829464,5.141905259771026
panel_od_003,12:30:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S2,Auto,0.12805536524415773,0.6584485560908345,5.141905259771026
panel_od_003,12:30:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,S3,Auto,0.06233123792037191,0.32050132011079957,5.141905259771026
panel_od_003,12:30:00,ABS_RESTORE,AUTO_0_7_SENSITIVITY,TW,Transit,0.024898977766391012,0.1280281847399278,5.141905259771026
panel_od_003,12:40:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6735063629337521,3.4631059100583137,5.141905259771026
panel_od_003,12:40:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S2,Auto,0.189331120667398,0.9735226851980366,5.141905259771026
panel_od_003,12:40:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,S3,Auto,0.11437670646179104,0.5881141885511701,5.141905259771026
panel_od_003,12:40:00,ABS_PLANNED,UNIT_BOUNDARY_PRIMARY,TW,Transit,0.022785809937058744,0.11716247596350528,5.141905259771026
panel_od_003,12:40:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,DA,Auto,0.7820267161712499,4.0211072851624134,5.141905259771026
panel_od_003,12:40:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S2,Auto,0.12761676647766937,0.6561933227864989,5.141905259771026
panel_od_003,12:40:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,S3,Auto,0.06211774898132244,0.31940358021219817,5.141905259771026
panel_od_003,12:40:00,ABS_PLANNED,AUTO_0_7_SENSITIVITY,TW,Transit,0.028238768369758506,0.14520107160991697,5.141905259771026
panel_od_003,12:40:00,ABS_OBS_EXPLORATORY,UNIT_BOUNDARY_PRIMARY,DA,Auto,0.6735063629337521,3.4631059100583137,5.141905259771026
