round,demand_id,artificial_flow
16,B07,0.0
16,B08,2.6810653642261704
16,B09,1.3483728544403923
16,B10,2.673825858143812
17,B01,5.133236568999581
17,B02,0.0
17,B03,-0.0
17,B04,0.18341459663795456
17,B05,4.272422887405358
17,B06,-0.0
17,B07,0.0
17,B08,2.6810653642261704
17,B09,0.2650395211070591
17,B10,2.673825858143812
18,B01,5.133236568999581
18,B02,0.0
18,B03,-0.0
18,B04,0.18341459663795456
18,B05,4.272422887405358
18,B06,-0.0
18,B07,0.0
18,B08,3.7643986975595034
18,B09,0.2650395211070591
18,B10,1.5904925248104786
19,B01,5.133236568999581
19,B02,0.0
19,B03,-0.0
19,B04,0.18341459663795456
19,B05,4.272422887405358
19,B06,-0.0
19,B07,0.0
19,B08,2.6810653642261704
19,B09,0.2650395211070591
19,B10,2.673825858143812
20,B01,5.133236568999581
20,B02,0.0
20,B03,-0.0
20,B04,0.18341459663795456
20,B05,4.272422887405358
20,B06,-0.0
20,B07,0.0
20,B08,3.7643986975595034
20,B09,0.0
20,B10,1.5904925248104786
21,B01,5.133236568999581
21,B02,0.0
21,B03,-0.0
21,B04,0.18341459663795456
21,B05,4.272422887405358
21,B06,-0.0
21,B07,0.0
21,B08,3.7643986975595034
21,B09,0.0
21,B10,1.5904925248104786
22,B01,5.133236568999581
22,B02,0.0
22,B03,-0.0
22,B04,0.18341459663795456
22,B05,4.272422887405358
22,B06,-0.0
22,B07,0.0
22,B08,2.6810653642261704
22,B09,0.0
22,B10,2.2646789520306747
23,B01,5.133236568999581
23,B02,0.0
23,B03,-0.0
23,B04,0.18341459663795456
23,B05,4.272422887405358
23,B06,-0.0
23,B07,0.0
23,B08,2.6810653642261704
23,B09,0.0
23,B10,1.8555320459175377
24,B01,5.133236568999581
24,B02,0.0
24,B03,-0.0
24,B04,0.18341459663795456
24,B05,4.272422887405358
24,B06,-0.0
24,B07,0.0
24,B08,2.6810653642261704
24,B09,0.2650395211070591
24,B10,1.5904925248104786
25,B01,5.133236568999581
25,B02,0.0
25,B03,-0.0
25,B04,0.18341459663795456
25,B05,4.272422887405358
25,B06,-0.0
25,B07,0.0
25,B08,2.6810653642261704
25,B09,0.2650395211070591
25,B10,1.5904925248104786
26,B01,5.133236568999581
26,B02,0.0
26,B03,-0.0
26,B04,0.18341459663795456
26,B05,4.272422887405358
26,B06,-0.0
26,B07,0.0
26,B08,2.6810653642261704
26,B09,0.2650395211070591
26,B10,1.5904925248104786
27,B01,5.133236568999581
27,B02,0.0
27,B03,-0.0
27,B04,0.18341459663795456
27,B05,4.272422887405358
27,B06,-0.0
27,B07,0.0
27,B08,2.6810653642261704
27,B09,0.2650395211070591
27,B10,1.5904925248104786
28,B01,5.133236568999581
28,B02,0.0
28,B03,-0.0
28,B04,0.18341459663795456
28,B05,4.272422887405358
28,B06,-0.0
28,B07,0.0
28,B08,2.6810653642261704
28,B09,0.2650395211070591
28,B10,1.5904925248104786
29,B01,5.133236568999581
29,B02,0.0
29,B03,-0.0
29,B04,0.18341459663795456
29,B05,4.272422887405358
29,B06,-0.0
29,B07,0.0
29,B08,2.6810653642261704
29,B09,0.2650395211070591
29,B10,1.5904925248104786
30,B01,5.133236568999581
30,B02,0.0
30,B03,-0.0
30,B04,0.18341459663795456
30,B05,4.272422887405358
30,B06,-0.0
30,B07,0.0
30,B08,2.6810653642261704
30,B09,0.0
30,B10,1.5804865134437465
31,B01,5.133236568999581
31,B02,0.0
31,B03,-0.0
31,B04,0.18341459663795456
31,B05,4.272422887405358
31,B06,-0.0
31,B07,0.0
31,B08,2.6810653642261704
31,B09,0.0
31,B10,1.5804865134437465
32,B01,5.133236568999581
32,B02,0.0
32,B03,-0.0
32,B04,0.18341459663795456
32,B05,4.272422887405358
32,B06,-0.0
32,B07,0.0
32,B08,2.6810653642261704
32,B09,0.0
32,B10,1.5704805020770152
33,B01,5.133236568999581
33,B02,0.0
33,B03,-0.0
33,B04,0.18341459663795456
33,B05,4.272422887405358
33,B06,-0.0
33,B07,0.0
33,B08,2.6810653642261704
33,B09,0.0
33,B10,1.5704805020770147
34,B01,5.133236568999581
34,B02,0.0
34,B03,-0.0
34,B04,0.18341459663795456
34,B05,4.272422887405358
34,B06,-0.0
34,B07,0.0
34,B08,2.6810653642261704
34,B09,1.5704805020770147
34,B10,0.0
35,B01,5.133236568999581
35,B02,0.0
35,B03,-0.0
35,B04,0.18341459663795456
35,B05,4.272422887405358
35,B06,-0.0
35,B07,0.0
35,B08,3.7643986975595034
35,B09,0.0
35,B10,0.48714716874368147
36,B01,5.133236568999581
36,B02,0.0
36,B03,-0.0
36,B04,0.18341459663795456
36,B05,4.272422887405358
36,B06,-0.0
36,B07,0.0
36,B08,2.6810653642261704
36,B09,0.0
