path_id,path_index,link_order,link_id,link_index
OD003_P01,16,1,18013,1267
OD003_P01,16,2,18020,1271
OD003_P01,16,3,15640,4411
OD003_P01,16,4,17180,372
OD003_P01,16,5,17181,3611
OD003_P01,16,6,15603,1971
OD003_P01,16,7,18148,1973
OD003_P01,16,8,15605,2166
OD003_P01,16,9,17186,2167
OD003_P01,16,10,17190,3766
OD003_P01,16,11,17191,2990
OD003_P01,16,12,17057,3546
OD003_P01,16,13,17208,3544
OD003_P01,16,14,17205,922
OD003_P01,16,15,17194,151
OD003_P01,16,16,17211,921
OD003_P01,16,17,14243,911
OD003_P01,16,18,18664,912
OD003_P01,16,19,18686,2614
OD003_P01,16,20,18680,916
OD003_P01,16,21,18668,3769
OD003_P01,16,22,18669,2881
OD003_P01,16,23,18676,2882
OD003_P01,16,24,18286,3472
OD003_P01,16,25,18294,3774
OD003_P01,16,26,18487,2625
OD003_P01,16,27,18488,2627
OD003_P01,16,28,18437,2789
OD003_P01,16,29,18503,2844
OD003_P01,16,30,18551,4212
OD003_P01,16,31,18550,3241
OD003_P01,16,32,18547,3242
OD003_P01,16,33,18548,3243
OD003_P01,16,34,18552,2268
OD003_P01,16,35,14267,3352
OD003_P01,16,36,15572,3603
OD003_P01,16,37,15564,4643
OD003_P01,16,38,15567,4645
OD003_P01,16,39,15569,772
OD003_P01,16,40,15560,771
OD003_P01,16,41,15550,775
OD003_P01,16,42,15554,3524
OD003_P01,16,43,15557,4723
OD003_P01,16,44,15559,5087
OD003_P01,16,45,15553,4603
OD003_P02,17,0,17959,1273
OD003_P02,17,1,18013,1267
OD003_P02,17,2,18020,1271
OD003_P02,17,3,15640,4411
OD003_P02,17,4,15585,371
OD003_P02,17,5,18137,370
OD003_P02,17,6,18142,374
OD003_P02,17,7,18139,1976
OD003_P02,17,8,18143,2318
OD003_P02,17,9,18118,2327
OD003_P02,17,10,18148,1973
OD003_P02,17,11,15605,2166
OD003_P02,17,12,17186,2167
