path_index,path_id,od_index,od_id,o_node_id,d_node_id,rank_in_od,link_id_sequence,free_flow_cost_min,generation_method,source_identity
42,OD008_P02,8,3858->1492,3858,1492,2,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958;18007;18005;17811;17946;17947;15593;17036,2.336249333333333,yen_loopless_exact_link_ids_vdf_fftt,688cab243ca2cad9
43,OD008_P03,8,3858->1492,3858,1492,3,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18010;17828;15593;17036,2.337382,yen_loopless_exact_link_ids_vdf_fftt,37410f3bf23f1fda
44,OD008_P04,8,3858->1492,3858,1492,4,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18005;17811;17946;17947;15592,2.5506546666666665,yen_loopless_exact_link_ids_vdf_fftt,16d26840f6c64e3d
45,OD009_P00,9,3858->2032,3858,2032,0,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17958,1.5379686666666668,yen_loopless_exact_link_ids_vdf_fftt,057039e9195ac022
46,OD009_P01,9,3858->2032,3858,2032,1,18164;18117;18140;18115;18152;17775;17956;18015;18018;18019;18014;17958,1.871024,yen_loopless_exact_link_ids_vdf_fftt,e0c1a41612ecf298
47,OD009_P02,9,3858->2032,3858,2032,2,18164;18117;18140;18141;18138;15584;17180;17179;15632;18014;17958,1.9154446666666667,yen_loopless_exact_link_ids_vdf_fftt,ca8bfc0f284c52bd
48,OD009_P03,9,3858->2032,3858,2032,3,18164;18117;18140;18115;18152;17775;17812;18086;17819;18051;18049;18050;18033;17957;18023;18017;17958,1.9178906666666664,yen_loopless_exact_link_ids_vdf_fftt,3d1846ded2563758
49,OD009_P04,9,3858->2032,3858,2032,4,18164;18117;18140;18115;18154;18120;17772;18015;18018;18019;18014;17960;18009;18006,1.938788,yen_loopless_exact_link_ids_vdf_fftt,86fcab2c3a4a170c
50,OD010_P00,10,3858->4914,3858,4914,0,18164;18117;18140;18115;18152;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825,2.3129753333333323,yen_loopless_exact_link_ids_vdf_fftt,f731f957b201b7ed
51,OD010_P01,10,3858->4914,3858,4914,1,18164;18117;18140;18115;18154;18153;17775;17812;18086;18085;18063;18081;18071;17815;18056;17808;17904;17825,2.3883939999999995,yen_loopless_exact_link_ids_vdf_fftt,f25bc89e6a4fc3bb
